Country,Year,Age,Cause,Pollutant,Measure,Value,Lower Bound,Upper Bound,Units,Life Expectancy (State of global air?),
India,2004,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,266.4645,186.5494,350.8451,"per 100,000",64.153999,
India,2005,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,268.7389,187.9569,356.7601,"per 100,000",64.556,
India,2006,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,280.6938,196.8137,369.2649,"per 100,000",64.966003,
India,2007,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,293.6678,207.2675,386.9727,"per 100,000",65.383003,
India,2008,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,306.9277,219.1172,399.6714,"per 100,000",65.802002,
India,2009,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,318.7012,226.7064,414.8159,"per 100,000",66.219002,
India,2010,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,330.0593,233.3793,432.992,"per 100,000",66.625,
India,2011,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,341.426,244.9499,449.3367,"per 100,000",67.013,
India,2012,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,331.245,228.5741,429.6495,"per 100,000",67.376999,
India,2013,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,350.6477,248.3382,454.7344,"per 100,000",67.713997,
India,2014,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,362.0926,256.4796,473.8718,"per 100,000",68.021004,
India,2015,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,379.4287,260.1578,488.7911,"per 100,000",68.302002,
India,2016,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,391.6057,270.1866,510.2543,"per 100,000",68.8,
India,2017,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,405.152,284.9579,529.2959,"per 100,000",,
India,1990,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,8.875098,5.885517,12.57325,"per 100,000",57.915001,
India,1991,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,9.072409,6.099705,12.53316,"per 100,000",58.409,
India,1992,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,9.281092,6.302621,12.73214,"per 100,000",58.915001,
India,1993,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,9.276014,6.205835,12.73307,"per 100,000",59.421001,
India,1994,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,9.342606,6.477708,12.82686,"per 100,000",59.921001,
India,1995,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,9.420309,6.277422,12.89146,"per 100,000",60.408001,
India,1996,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,9.719223,6.695744,13.32031,"per 100,000",60.876999,
India,1997,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,10.28557,6.863153,14.04115,"per 100,000",61.327,
India,1998,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,10.45588,7.04743,14.19313,"per 100,000",61.761002,
India,1999,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,10.14276,6.802636,13.66848,"per 100,000",62.179001,
India,2000,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,10.21071,6.837816,14.02874,"per 100,000",62.582001,
India,2001,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,10.37538,7.065871,14.1593,"per 100,000",62.977001,
India,2002,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,10.37911,7.18119,14.0837,"per 100,000",63.368,
India,2003,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,10.33941,7.143192,13.87973,"per 100,000",63.758999,
India,2004,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,10.02137,6.974284,13.52708,"per 100,000",64.153999,
India,2005,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,10.14654,7.022057,13.72238,"per 100,000",64.556,
India,2006,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,10.66419,7.463279,14.19698,"per 100,000",64.966003,
India,2007,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,11.14142,7.834948,14.83641,"per 100,000",65.383003,
India,2008,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,11.63045,8.184883,15.34368,"per 100,000",65.802002,
India,2009,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,12.03739,8.465419,15.83893,"per 100,000",66.219002,
India,2010,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,12.46689,8.726505,16.63396,"per 100,000",66.625,
India,2011,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,12.91933,9.036989,17.16111,"per 100,000",67.013,
India,2012,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,12.53895,8.651025,16.48305,"per 100,000",67.376999,
India,2013,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,13.29887,9.218425,17.42281,"per 100,000",67.713997,
India,2014,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,13.78179,9.595094,18.37914,"per 100,000",68.021004,
India,2015,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,14.50113,9.980792,18.90792,"per 100,000",68.302002,
India,2016,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,15.04523,10.21485,19.731,"per 100,000",68.8,
India,2017,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,15.61712,10.90063,20.67766,"per 100,000",,
India,1990,All ages,Ischemic heart disease,Ambient PM,DALYs,208.0846,168.4318,255.0573,"per 100,000",57.915001,
India,1991,All ages,Ischemic heart disease,Ambient PM,DALYs,212.8834,173.5763,258.3301,"per 100,000",58.409,
India,1992,All ages,Ischemic heart disease,Ambient PM,DALYs,218.7116,178.6961,263.4063,"per 100,000",58.915001,
India,1993,All ages,Ischemic heart disease,Ambient PM,DALYs,219.4973,177.9999,263.9703,"per 100,000",59.421001,
India,1994,All ages,Ischemic heart disease,Ambient PM,DALYs,222.945,182.7637,267.9931,"per 100,000",59.921001,
India,1995,All ages,Ischemic heart disease,Ambient PM,DALYs,224.2571,183.822,266.4981,"per 100,000",60.408001,
India,1996,All ages,Ischemic heart disease,Ambient PM,DALYs,231.4421,191.2921,274.3464,"per 100,000",60.876999,
India,1997,All ages,Ischemic heart disease,Ambient PM,DALYs,244.749,204.163,288.784,"per 100,000",61.327,
India,1998,All ages,Ischemic heart disease,Ambient PM,DALYs,246.1935,205.2987,291.5583,"per 100,000",61.761002,
India,1999,All ages,Ischemic heart disease,Ambient PM,DALYs,245.5649,204.7135,289.99,"per 100,000",62.179001,
India,2000,All ages,Ischemic heart disease,Ambient PM,DALYs,248.989,204.9,295.172,"per 100,000",62.582001,
India,2001,All ages,Ischemic heart disease,Ambient PM,DALYs,253.1721,210.6456,298.5567,"per 100,000",62.977001,
India,2002,All ages,Ischemic heart disease,Ambient PM,DALYs,256.774,213.6282,304.9075,"per 100,000",63.368,
India,2003,All ages,Ischemic heart disease,Ambient PM,DALYs,258.4531,216.1686,305.5962,"per 100,000",63.758999,
India,2004,All ages,Ischemic heart disease,Ambient PM,DALYs,253.6353,210.6216,299.8652,"per 100,000",64.153999,
India,2005,All ages,Ischemic heart disease,Ambient PM,DALYs,262.0574,216.0258,309.9123,"per 100,000",64.556,
India,2006,All ages,Ischemic heart disease,Ambient PM,DALYs,278.1467,231.1751,327.1404,"per 100,000",64.966003,
India,2007,All ages,Ischemic heart disease,Ambient PM,DALYs,296.0937,249.1716,349.9677,"per 100,000",65.383003,
India,2008,All ages,Ischemic heart disease,Ambient PM,DALYs,312.8706,261.6547,365.698,"per 100,000",65.802002,
India,2009,All ages,Ischemic heart disease,Ambient PM,DALYs,329.2436,277.9183,385.783,"per 100,000",66.219002,
India,2010,All ages,Ischemic heart disease,Ambient PM,DALYs,346.9762,291.9476,407.9095,"per 100,000",66.625,
India,2011,All ages,Ischemic heart disease,Ambient PM,DALYs,366.7976,310.6997,430.1209,"per 100,000",67.013,
India,2012,All ages,Ischemic heart disease,Ambient PM,DALYs,364.385,308.1692,427.3161,"per 100,000",67.376999,
India,2013,All ages,Ischemic heart disease,Ambient PM,DALYs,380.1683,324.2897,444.8566,"per 100,000",67.713997,
India,2014,All ages,Ischemic heart disease,Ambient PM,DALYs,386.4751,327.1272,451.121,"per 100,000",68.021004,
India,2015,All ages,Ischemic heart disease,Ambient PM,DALYs,397.7143,339.3124,459.9068,"per 100,000",68.302002,
India,2016,All ages,Ischemic heart disease,Ambient PM,DALYs,409.5116,347.1124,478.2268,"per 100,000",68.8,
India,2017,All ages,Ischemic heart disease,Ambient PM,DALYs,419.6166,356.885,488.9994,"per 100,000",,
India,1990,All ages,Ischemic heart disease,Ambient PM,Deaths,6.995055,5.674538,8.579804,"per 100,000",57.915001,
India,1991,All ages,Ischemic heart disease,Ambient PM,Deaths,7.183736,5.815257,8.709438,"per 100,000",58.409,
India,1992,All ages,Ischemic heart disease,Ambient PM,Deaths,7.403142,6.042994,8.978388,"per 100,000",58.915001,
India,1993,All ages,Ischemic heart disease,Ambient PM,Deaths,7.446866,6.107655,8.953531,"per 100,000",59.421001,
India,1994,All ages,Ischemic heart disease,Ambient PM,Deaths,7.555629,6.165199,9.112283,"per 100,000",59.921001,
India,1995,All ages,Ischemic heart disease,Ambient PM,Deaths,7.602207,6.193806,9.047011,"per 100,000",60.408001,
India,1996,All ages,Ischemic heart disease,Ambient PM,Deaths,7.859213,6.502864,9.336302,"per 100,000",60.876999,
India,1997,All ages,Ischemic heart disease,Ambient PM,Deaths,8.34818,6.935777,9.82916,"per 100,000",61.327,
India,1998,All ages,Ischemic heart disease,Ambient PM,Deaths,8.443716,6.9848,10.01287,"per 100,000",61.761002,
India,1999,All ages,Ischemic heart disease,Ambient PM,Deaths,8.371032,6.888353,9.845553,"per 100,000",62.179001,
India,2000,All ages,Ischemic heart disease,Ambient PM,Deaths,8.542211,7.036412,10.15453,"per 100,000",62.582001,
India,2001,All ages,Ischemic heart disease,Ambient PM,Deaths,8.765521,7.305036,10.37091,"per 100,000",62.977001,
India,2002,All ages,Ischemic heart disease,Ambient PM,Deaths,8.926511,7.399682,10.61407,"per 100,000",63.368,
India,2003,All ages,Ischemic heart disease,Ambient PM,Deaths,9.036564,7.529773,10.71788,"per 100,000",63.758999,
India,2004,All ages,Ischemic heart disease,Ambient PM,Deaths,8.904541,7.414781,10.52371,"per 100,000",64.153999,
India,2005,All ages,Ischemic heart disease,Ambient PM,Deaths,9.240265,7.684037,10.92462,"per 100,000",64.556,
India,2006,All ages,Ischemic heart disease,Ambient PM,Deaths,9.836278,8.193989,11.53603,"per 100,000",64.966003,
India,2007,All ages,Ischemic heart disease,Ambient PM,Deaths,10.47265,8.801542,12.31263,"per 100,000",65.383003,
India,2008,All ages,Ischemic heart disease,Ambient PM,Deaths,11.09092,9.258522,12.97271,"per 100,000",65.802002,
India,2009,All ages,Ischemic heart disease,Ambient PM,Deaths,11.70537,9.877275,13.71475,"per 100,000",66.219002,
India,2010,All ages,Ischemic heart disease,Ambient PM,Deaths,12.37946,10.40383,14.49842,"per 100,000",66.625,
India,2011,All ages,Ischemic heart disease,Ambient PM,Deaths,13.13403,11.15851,15.4091,"per 100,000",67.013,
India,2012,All ages,Ischemic heart disease,Ambient PM,Deaths,13.12905,11.12031,15.29934,"per 100,000",67.376999,
India,2013,All ages,Ischemic heart disease,Ambient PM,Deaths,13.79647,11.71287,16.08782,"per 100,000",67.713997,
India,2014,All ages,Ischemic heart disease,Ambient PM,Deaths,14.11232,11.96871,16.44873,"per 100,000",68.021004,
India,2015,All ages,Ischemic heart disease,Ambient PM,Deaths,14.57953,12.39877,16.85676,"per 100,000",68.302002,
India,2016,All ages,Ischemic heart disease,Ambient PM,Deaths,15.04911,12.72875,17.55363,"per 100,000",68.8,
India,2017,All ages,Ischemic heart disease,Ambient PM,Deaths,15.48674,13.14046,17.99874,"per 100,000",,
India,1990,All ages,Ischemic stroke,Ambient PM,DALYs,20.03993,14.3506,26.90119,"per 100,000",57.915001,
India,1991,All ages,Ischemic stroke,Ambient PM,DALYs,20.45723,14.8303,27.64459,"per 100,000",58.409,
India,1992,All ages,Ischemic stroke,Ambient PM,DALYs,21.04289,15.33726,28.07017,"per 100,000",58.915001,
India,1993,All ages,Ischemic stroke,Ambient PM,DALYs,21.04208,15.35151,28.09839,"per 100,000",59.421001,
India,1994,All ages,Ischemic stroke,Ambient PM,DALYs,21.24596,15.58031,28.39657,"per 100,000",59.921001,
India,1995,All ages,Ischemic stroke,Ambient PM,DALYs,21.24267,15.4046,28.05436,"per 100,000",60.408001,
India,1996,All ages,Ischemic stroke,Ambient PM,DALYs,21.69786,15.95677,28.43256,"per 100,000",60.876999,
India,1997,All ages,Ischemic stroke,Ambient PM,DALYs,22.81669,16.88359,29.96307,"per 100,000",61.327,
India,1998,All ages,Ischemic stroke,Ambient PM,DALYs,22.92444,16.97012,29.96805,"per 100,000",61.761002,
India,1999,All ages,Ischemic stroke,Ambient PM,DALYs,22.48423,16.55898,29.7914,"per 100,000",62.179001,
India,2000,All ages,Ischemic stroke,Ambient PM,DALYs,22.74333,16.68223,30.09901,"per 100,000",62.582001,
India,2001,All ages,Ischemic stroke,Ambient PM,DALYs,23.30972,17.29883,30.80727,"per 100,000",62.977001,
India,2002,All ages,Ischemic stroke,Ambient PM,DALYs,23.75217,17.67748,31.55281,"per 100,000",63.368,
India,2003,All ages,Ischemic stroke,Ambient PM,DALYs,24.08411,17.6493,31.95211,"per 100,000",63.758999,
India,2004,All ages,Ischemic stroke,Ambient PM,DALYs,23.7263,17.41577,31.51253,"per 100,000",64.153999,
India,2005,All ages,Ischemic stroke,Ambient PM,DALYs,24.49408,18.03692,32.65591,"per 100,000",64.556,
India,2006,All ages,Ischemic stroke,Ambient PM,DALYs,25.53771,18.7796,33.88354,"per 100,000",64.966003,
India,2007,All ages,Ischemic stroke,Ambient PM,DALYs,26.72628,19.75012,35.23891,"per 100,000",65.383003,
India,2008,All ages,Ischemic stroke,Ambient PM,DALYs,28.05894,20.82123,36.8576,"per 100,000",65.802002,
India,2009,All ages,Ischemic stroke,Ambient PM,DALYs,29.06079,21.56399,38.24619,"per 100,000",66.219002,
India,2010,All ages,Ischemic stroke,Ambient PM,DALYs,30.14421,22.33273,39.81237,"per 100,000",66.625,
India,2011,All ages,Ischemic stroke,Ambient PM,DALYs,31.3073,23.36173,41.35384,"per 100,000",67.013,
India,2012,All ages,Ischemic stroke,Ambient PM,DALYs,30.9643,23.05793,40.88288,"per 100,000",67.376999,
India,2013,All ages,Ischemic stroke,Ambient PM,DALYs,32.82588,24.04811,43.4888,"per 100,000",67.713997,
India,2014,All ages,Ischemic stroke,Ambient PM,DALYs,33.86625,25.16079,44.97105,"per 100,000",68.021004,
India,2015,All ages,Ischemic stroke,Ambient PM,DALYs,35.12229,26.32626,45.9732,"per 100,000",68.302002,
India,2016,All ages,Ischemic stroke,Ambient PM,DALYs,36.12067,26.55649,47.83508,"per 100,000",68.8,
India,2017,All ages,Ischemic stroke,Ambient PM,DALYs,37.40187,27.8276,49.82036,"per 100,000",,
India,1990,All ages,Ischemic stroke,Ambient PM,Deaths,0.806286,0.585068,1.090378,"per 100,000",57.915001,
India,1991,All ages,Ischemic stroke,Ambient PM,Deaths,0.826963,0.606325,1.113212,"per 100,000",58.409,
India,1992,All ages,Ischemic stroke,Ambient PM,Deaths,0.853278,0.622853,1.136401,"per 100,000",58.915001,
India,1993,All ages,Ischemic stroke,Ambient PM,Deaths,0.854426,0.62609,1.141785,"per 100,000",59.421001,
India,1994,All ages,Ischemic stroke,Ambient PM,Deaths,0.863507,0.629133,1.146545,"per 100,000",59.921001,
India,1995,All ages,Ischemic stroke,Ambient PM,Deaths,0.864442,0.633299,1.155392,"per 100,000",60.408001,
India,1996,All ages,Ischemic stroke,Ambient PM,Deaths,0.883189,0.650789,1.170664,"per 100,000",60.876999,
India,1997,All ages,Ischemic stroke,Ambient PM,Deaths,0.935955,0.694149,1.240824,"per 100,000",61.327,
India,1998,All ages,Ischemic stroke,Ambient PM,Deaths,0.948082,0.703516,1.253942,"per 100,000",61.761002,
India,1999,All ages,Ischemic stroke,Ambient PM,Deaths,0.92965,0.688072,1.235045,"per 100,000",62.179001,
India,2000,All ages,Ischemic stroke,Ambient PM,Deaths,0.946662,0.700552,1.255787,"per 100,000",62.582001,
India,2001,All ages,Ischemic stroke,Ambient PM,Deaths,0.97768,0.724195,1.290382,"per 100,000",62.977001,
India,2002,All ages,Ischemic stroke,Ambient PM,Deaths,0.999599,0.738446,1.328967,"per 100,000",63.368,
India,2003,All ages,Ischemic stroke,Ambient PM,Deaths,1.016303,0.75313,1.349506,"per 100,000",63.758999,
India,2004,All ages,Ischemic stroke,Ambient PM,Deaths,1.000771,0.728729,1.328929,"per 100,000",64.153999,
India,2005,All ages,Ischemic stroke,Ambient PM,Deaths,1.039709,0.756106,1.383644,"per 100,000",64.556,
India,2006,All ages,Ischemic stroke,Ambient PM,Deaths,1.08494,0.794667,1.4409,"per 100,000",64.966003,
India,2007,All ages,Ischemic stroke,Ambient PM,Deaths,1.132769,0.836748,1.498824,"per 100,000",65.383003,
India,2008,All ages,Ischemic stroke,Ambient PM,Deaths,1.190562,0.87873,1.575938,"per 100,000",65.802002,
India,2009,All ages,Ischemic stroke,Ambient PM,Deaths,1.234206,0.913558,1.617888,"per 100,000",66.219002,
India,2010,All ages,Ischemic stroke,Ambient PM,Deaths,1.280057,0.943703,1.688418,"per 100,000",66.625,
India,2011,All ages,Ischemic stroke,Ambient PM,Deaths,1.329124,0.986275,1.771738,"per 100,000",67.013,
India,2012,All ages,Ischemic stroke,Ambient PM,Deaths,1.314153,0.976937,1.741732,"per 100,000",67.376999,
India,2013,All ages,Ischemic stroke,Ambient PM,Deaths,1.39638,1.040462,1.853638,"per 100,000",67.713997,
India,2014,All ages,Ischemic stroke,Ambient PM,Deaths,1.441743,1.064336,1.921626,"per 100,000",68.021004,
India,2015,All ages,Ischemic stroke,Ambient PM,Deaths,1.492508,1.116488,1.954993,"per 100,000",68.302002,
India,2016,All ages,Ischemic stroke,Ambient PM,Deaths,1.534536,1.138074,2.038556,"per 100,000",68.8,
India,2017,All ages,Ischemic stroke,Ambient PM,Deaths,1.587802,1.186577,2.092592,"per 100,000",,
India,1990,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,15.11424,11.56706,19.04851,"per 100,000",57.915001,
India,1991,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,15.49383,11.85301,19.42123,"per 100,000",58.409,
India,1992,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,15.77524,12.30687,19.86305,"per 100,000",58.915001,
India,1993,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,15.88508,12.25217,19.88057,"per 100,000",59.421001,
India,1994,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,16.01106,12.45036,20.12822,"per 100,000",59.921001,
India,1995,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,16.03725,12.3595,20.08157,"per 100,000",60.408001,
India,1996,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,16.58428,12.82891,20.5441,"per 100,000",60.876999,
India,1997,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,17.45149,13.44689,21.58077,"per 100,000",61.327,
India,1998,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,17.45039,13.38061,21.50935,"per 100,000",61.761002,
India,1999,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,17.32461,13.33427,21.29514,"per 100,000",62.179001,
India,2000,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,17.65602,13.57251,21.80398,"per 100,000",62.582001,
India,2001,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,18.07348,13.84476,22.21191,"per 100,000",62.977001,
India,2002,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,18.37502,14.20505,22.61439,"per 100,000",63.368,
India,2003,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,18.68031,14.52063,23.15062,"per 100,000",63.758999,
India,2004,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,18.5939,14.43973,23.00759,"per 100,000",64.153999,
India,2005,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,19.36346,14.98069,23.97433,"per 100,000",64.556,
India,2006,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,20.27832,15.71319,24.99584,"per 100,000",64.966003,
India,2007,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,21.44853,16.68478,26.46045,"per 100,000",65.383003,
India,2008,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,22.51138,17.4796,27.64009,"per 100,000",65.802002,
India,2009,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,23.72915,18.37474,29.42727,"per 100,000",66.219002,
India,2010,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,24.91646,19.19155,30.67909,"per 100,000",66.625,
India,2011,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,26.15393,20.12105,32.40759,"per 100,000",67.013,
India,2012,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,25.64059,19.88627,31.5999,"per 100,000",67.376999,
India,2013,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,27.21222,20.88598,33.73832,"per 100,000",67.713997,
India,2014,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,27.92307,21.34862,35.06774,"per 100,000",68.021004,
India,2015,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,29.02982,22.07276,36.36898,"per 100,000",68.302002,
India,2016,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,30.08372,23.01642,37.48123,"per 100,000",68.8,
India,2017,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,DALYs,31.2644,23.46019,39.16709,"per 100,000",,
India,1990,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.564243,0.430878,0.712806,"per 100,000",57.915001,
India,1991,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.580669,0.445685,0.723647,"per 100,000",58.409,
India,1992,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.593381,0.461849,0.745775,"per 100,000",58.915001,
India,1993,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.599683,0.46314,0.750795,"per 100,000",59.421001,
India,1994,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.605706,0.469604,0.759007,"per 100,000",59.921001,
India,1995,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.608351,0.46751,0.763891,"per 100,000",60.408001,
India,1996,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.629652,0.48603,0.781951,"per 100,000",60.876999,
India,1997,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.665082,0.512078,0.819834,"per 100,000",61.327,
India,1998,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.669398,0.5144,0.828807,"per 100,000",61.761002,
India,1999,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.663359,0.509486,0.818699,"per 100,000",62.179001,
India,2000,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.681237,0.524518,0.846223,"per 100,000",62.582001,
India,2001,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.703119,0.540499,0.867087,"per 100,000",62.977001,
India,2002,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.717648,0.552688,0.88371,"per 100,000",63.368,
India,2003,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.733451,0.570765,0.909426,"per 100,000",63.758999,
India,2004,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.733593,0.568024,0.907775,"per 100,000",64.153999,
India,2005,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.767331,0.591152,0.950359,"per 100,000",64.556,
India,2006,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.806683,0.626668,0.996903,"per 100,000",64.966003,
India,2007,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.852991,0.665325,1.052093,"per 100,000",65.383003,
India,2008,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.898528,0.694996,1.105972,"per 100,000",65.802002,
India,2009,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,0.950206,0.734338,1.174568,"per 100,000",66.219002,
India,2010,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,1.000874,0.769467,1.235969,"per 100,000",66.625,
India,2011,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,1.052739,0.810379,1.305359,"per 100,000",67.013,
India,2012,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,1.03401,0.801663,1.275047,"per 100,000",67.376999,
India,2013,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,1.099145,0.84222,1.367522,"per 100,000",67.713997,
India,2014,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,1.130971,0.864587,1.424449,"per 100,000",68.021004,
India,2015,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,1.175899,0.891026,1.468146,"per 100,000",68.302002,
India,2016,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,1.220415,0.932726,1.518539,"per 100,000",68.8,
India,2017,All ages,"Tracheal, bronchus, and lung cancer",Ambient PM,Deaths,1.272075,0.958193,1.604853,"per 100,000",,
India,1990,All ages,Lower respiratory infections,Ambient PM,DALYs,990.2344,722.1067,1323.129,"per 100,000",57.915001,
India,1991,All ages,Lower respiratory infections,Ambient PM,DALYs,984.0621,726.6706,1293.555,"per 100,000",58.409,
India,1992,All ages,Lower respiratory infections,Ambient PM,DALYs,981.9116,720.5403,1263.352,"per 100,000",58.915001,
India,1993,All ages,Lower respiratory infections,Ambient PM,DALYs,955.3011,699.0878,1242.839,"per 100,000",59.421001,
India,1994,All ages,Lower respiratory infections,Ambient PM,DALYs,930.1794,693.8703,1205.802,"per 100,000",59.921001,
India,1995,All ages,Lower respiratory infections,Ambient PM,DALYs,908.999,667.0839,1190.14,"per 100,000",60.408001,
India,1996,All ages,Lower respiratory infections,Ambient PM,DALYs,890.7938,657.5758,1146.762,"per 100,000",60.876999,
India,1997,All ages,Lower respiratory infections,Ambient PM,DALYs,871.2331,644.169,1104.926,"per 100,000",61.327,
India,1998,All ages,Lower respiratory infections,Ambient PM,DALYs,845.5573,619.5481,1077.54,"per 100,000",61.761002,
India,1999,All ages,Lower respiratory infections,Ambient PM,DALYs,815.4012,591.1341,1037.692,"per 100,000",62.179001,
India,2000,All ages,Lower respiratory infections,Ambient PM,DALYs,797.6503,581.6059,1013.958,"per 100,000",62.582001,
India,2001,All ages,Lower respiratory infections,Ambient PM,DALYs,781.3187,565.388,986.9532,"per 100,000",62.977001,
India,2002,All ages,Lower respiratory infections,Ambient PM,DALYs,752.951,542.8905,947.5091,"per 100,000",63.368,
India,2003,All ages,Lower respiratory infections,Ambient PM,DALYs,729.1995,541.6117,907.4092,"per 100,000",63.758999,
India,2004,All ages,Lower respiratory infections,Ambient PM,DALYs,712.3648,531.5419,903.4062,"per 100,000",64.153999,
India,2005,All ages,Lower respiratory infections,Ambient PM,DALYs,696.0282,515.7507,879.8115,"per 100,000",64.556,
